GEOID,coverage_gap_score,region,transport_gap,transport_defined,building_gap,building_defined,poi_gap,poi_defined,poi_gap_fire,poi_defined_fire,poi_gap_ems,poi_defined_ems,poi_gap_schools,poi_defined_schools,poi_gap_cbp,poi_defined_cbp
40001376600,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,0.0,True,0.0,False,0.333333,True,0.0,True
40001376700,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,1.0,True,1.0,True,0.0,True,0.0,True
40001376800,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,1.0,True,0.0,False,0.333333,True,0.0,True
40001376900,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,0.0,True,0.0,True,0.0,True,0.0,True
40001377000,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,1.0,True,0.0,False,0.0,True,0.0,True
40003955600,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,0.2,True,0.0,True,0.333333,True,0.0,True
40003955700,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,0.0,False,0.0,False,0.0,True,0.0,True
40003956000,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,0.5,True,0.0,False,0.0,True,0.0,True
40005587600,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,0.5,True,0.0,False,0.5,True,0.0,True
40005587700,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,0.5,True,1.0,True,0.0,True,0.0,True
40005587800,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,0.75,True,0.0,False,0.0,True,0.0,True
40005587900,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,0.8,True,0.0,False,0.0,True,0.0,True
40009966100,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,0.0,True,0.0,False,0.0,True,0.0,True
40009966200,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,0.0,False,0.0,False,0.0,True,0.0,True
40009966800,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,0.333333,True,1.0,True,0.0,True,0.0,True
40011958600,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,0.0,True,0.0,False,0.0,True,0.0,True
40011958700,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,0.666667,True,1.0,True,0.0,True,0.0,True
40011958800,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,0.5,True,1.0,True,0.0,False,0.0,True
40011958900,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,0.5,True,0.0,True,0.0,True,0.0,True
40011959000,0.058436,eastern-ok,0.111771,True,0.005601,True,0.051414,True,0.0,True,1.0,True,0.0,True,0.0,True
